PMID,PMCID,DOI,Link Attachments,Title,1st B-Shortlist,2nd B-Shortlist,final decision,Category - 1st reviewer,Category - 2nd reviewer,Resource name,Availability,Updates,Used DB,Content,Reason for including/ excluding,Keywords,Reviewer keyword annotations,MeSH terms,Date,Author,Publication Title
34081107,PMC8570819,10.1093/bioinformatics/btab424,http://www.ncbi.nlm.nih.gov/pubmed/34081107; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8570819,PDBe aggregated API: programmatic access to an integrative knowledge graph of molecular structure data.; PDBe Aggregated API: Programmatic access to an integrative knowledge graph of molecular structure data,Y,Y,Y,INTEGRATED,INTEGRATED,PDBe Aggregated API,https://gitlab.ebi.ac.uk/pdbe-kb/services/pdbe-graph-api; https://pdbe.org/graph-api,Weekly,Neo4j,A KG that integrates the content of the well-established Protein Data Bank resource ,included: a KG for the Protein Data Bank,,Biochemistry,"Databases, Protein; Pattern Recognition, Automated; Software; Protein Conformation; Molecular Structure",2021 Nov 5; 2021-06-03,"Nair S, Váradi M, Nadzirin N, Pravda L, Anyango S, Mir S, Berrisford J, Armstrong D, Gutmanas A, Velankar S; Armstrong, David; Váradi, Mihály; Velankar, Sameer; Gutmanas, Aleksandras; Pravda, Lukáš; Nair, Sreenath; Anyango, Stephen; Mir, Saqib; Nadzirin, Nurul; Berrisford, John","Bioinformatics (Oxford, England)"
34042701,,10.3233/SHTI210116,https://pubmed.ncbi.nlm.nih.gov/34042701; http://www.ncbi.nlm.nih.gov/pubmed/34042701,Towards a Semantic Data Harmonization Federated Infrastructure; Towards a Semantic Data Harmonization Federated Infrastructure.,N,Y?,N,METHOD,METHOD,,,,,Ontologies; semantic harmonization,excluded: no open access to full text,SNOMED CT; Ontologies; semantic harmonization; graph database,Health,"Biological Ontologies; Semantics; Databases, Factual; Systematized Nomenclature of Medicine; Medical Informatics",2021-05-27; 2021 May 27,"Martinez-Costa, Catalina; Martinez-Costa C, Abad-Navarro F; Abad-Navarro, Francisco",Studies in Health Technology and Informatics; Studies in health technology and informatics
34042671,,10.3233/SHTI210267,http://www.ncbi.nlm.nih.gov/pubmed/34042671; https://pubmed.ncbi.nlm.nih.gov/34042671,Building a Knowledge Graph Representing Causal Associations Between Risk Factors and Incidence of Breast Cancer.; Building a Knowledge Graph Representing Causal Associations Between Risk Factors and Incidence of Breast Cancer,N,Y?,N,METHOD; INTEGRATED,METHOD; INTEGRATED,,not available,,,Mitigation of breat cancer risk,excluded: resource not available,Knowledge graph; literature-based discovery; disease risk mitigation,Health,"Semantics; Knowledge Discovery; Pattern Recognition, Automated; Breast Neoplasms [epidemiology]; Humans; Incidence; Risk Factors",2021-05-27; 2021 May 27,"Abidi, Syed Sibte Raza; Abidi, Samina; Daowd A, Barrett M, Abidi S, Abidi SSR; Daowd, Ali; Barrett, Michael",Studies in Health Technology and Informatics; Studies in health technology and informatics
34003247,PMC8130509,10.1093/database/baab026,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8130509/; http://www.ncbi.nlm.nih.gov/pubmed/34003247; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8130509,An overview of graph databases and their applications in the biomedical domain; An overview of graph databases and their applications in the biomedical domain.,Y,Y,Y,REVIEW,REVIEW,,,,Neo4j; OrientDB; ArangoDB; AllegroGraph; GraphDB; Dgraph; JanusGraph; Fauna,A review on GDB applications in biomedicine,included: a recent review on GDB applications in biomedicine,,Biomedicine,"Database Management Systems; Databases, Factual",2021 May 18; 2021-05-18,"Rincón, Mariano; Timón-Reina, Santiago; Timón-Reina S, Rincón M, Martínez-Tomás R; Martínez-Tomás, Rafael",Database: The Journal of Biological Databases and Curation; Database : the journal of biological databases and curation
33909565,,10.1109/TVCG.2021.3076222,https://pubmed.ncbi.nlm.nih.gov/33909565; http://www.ncbi.nlm.nih.gov/pubmed/33909565,Nebula: A Coordinating Grammar of Graphics; Nebula: A Coordinating Grammar of Graphics.,N,N,N,OTHERS,OTHERS,,,,,multiple coordinated views,excluded: out of scope,,Computer science,,2022 Dec; 2021-04-28,"Chen, Ran; Weng, Di; Fu, Siwei; Wu, Yingcai; Chen R, Shu X, Chen J, Weng D, Tang J, Fu S, Wu Y; Shu, Xinhuan; Tang, Junxiu; Chen, Jiahui",IEEE transactions on visualization and computer graphics
33902433,PMC8073886,10.1186/s12859-020-03937-0,http://www.ncbi.nlm.nih.gov/pubmed/33902433; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8073886/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8073886,Advantages of using graph databases to explore chromatin conformation capture experiments; Advantages of using graph databases to explore chromatin conformation capture experiments.,Y,Y,Y,METHOD,METHOD,NeoHiC,http://neohic.hpc4ai.it/,No information provided,Neo4j,A tool to store and analyze chromatin capture experiments,"included: use of Neo4j to store, analyze and compare Hi-C experiments",Hi-C; Graph databases; Chromatin capture; Graph visualisation,Molecular biology,Chromosomes; Molecular Conformation; Genome; Chromatin [genetics]; Genomics,2021-04-26; 2021 Apr 26,"D’Agostino, Daniele; D'Agostino, Daniele; Merelli, Ivan; Aldinucci, Marco; Liò, Pietro; D'Agostino D, Liò P, Aldinucci M, Merelli I",BMC Bioinformatics; BMC bioinformatics
33870050,PMC8028384,10.3389/frma.2020.577131,http://www.ncbi.nlm.nih.gov/pubmed/33870050; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8028384/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8028384,Delayed Recognition: A Co-Citation Perspective; Delayed Recognition: A Co-Citation Perspective.,N,N,N,METHOD,METHOD,,,,,Bibliometrics,excluded: out of scope,delayed recognition; sleeping beauty; bibliometrics; co-citation; graph database,Research metrics,,2020; 2021-02-19,"Chacko, George; Zhao W, Korobskiy D, Chacko G; Zhao, Wenxi; Korobskiy, Dmitriy",Frontiers in Research Metrics and Analytics; Frontiers in research metrics and analytics
33870041,PMC8028387,10.3389/frma.2020.00003,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8028387/; http://www.ncbi.nlm.nih.gov/pubmed/33870041; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8028387,Ontology-Based Graphs of Research Communities: A Tool for Understanding Threat Reduction Networks; Ontology-Based Graphs of Research Communities: A Tool for Understanding Threat Reduction Networks.,N,N,N,ONTOLOGY,ONTOLOGY,,,,,Ontology; research communities,excluded: out of scope,ontology; collaboration; threat reduction network; connectional intelligence; social network; bioinformatics; global health,Social networks,,2020; 2020-06-09,"Rosenberger, William; Ambrosiano J, Sims B, Bartlow AW, Rosenberger W, Ressler M, Fair JM; Bartlow, Andrew W.; Fair, Jeanne M.; Ressler, Mark; Ambrosiano, John; Sims, Benjamin",Frontiers in Research Metrics and Analytics; Frontiers in research metrics and analytics
33753269,,10.1016/j.jbi.2021.103747,https://pubmed.ncbi.nlm.nih.gov/33753269; http://www.ncbi.nlm.nih.gov/pubmed/33753269,Definition and validation of SNOMED CT subsets using the expression constraint language.; Definition and validation of SNOMED CT subsets using the expression constraint language,N,N?,N,METHOD,METHOD,,,,,Expression constraint language,excluded: out of scope,SNOMED CT; Subset visualization; Expression constraint simplification; Graph database; Expression constraint language,Biomedicine,"Translating; Systematized Nomenclature of Medicine; Semantics; Databases, Factual",2021-05; 2021 May,"Boscá, D.; Giménez-Solano VM, Maldonado JA, Boscá D, Salas-García S, Robles M; Maldonado, J. A.; Giménez-Solano, V. M.; Salas-García, S.; Robles, M.",Journal of Biomedical Informatics; Journal of biomedical informatics
33430980,PMC6974502,10.1186/s13321-020-0409-9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6974502/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6974502; http://www.ncbi.nlm.nih.gov/pubmed/33430980,SmartGraph: a network pharmacology investigation platform.; SmartGraph: a network pharmacology investigation platform,Y,Y,Y,INTEGRATED,INTEGRATED,SmartGraph,https://smartgraph.ncats.io/,Active,Neo4j,A network pharmacology platform,included: navigating the complex landscape of drug-target and target-target interactions,Network visualization; Network pharmacology; Bioactivity prediction; Scaffold; Target deconvolution; Protein–protein interactions (PPIs); Pathway analysis; neo4j; Network perturbation; Potent chemical pattern,"Networks, pharmacology",,2020-01-21; 2020 Jan 21,"Oprea, Tudor I.; Zahoránszky-Kőhalmi G, Sheils T, Oprea TI; Sheils, Timothy; Zahoránszky-Kőhalmi, Gergely",Journal of cheminformatics; Journal of Cheminformatics
