,DOI,PMID,PMCID,Shortlist,GDBs,GDBs,Author,Title,Publication Year,Publication Title,ISBN,Abstract Note,Date,Date Added,Pages,Issue,Volume,Journal Abbreviation,Short Title,Library Catalog,Extra,Link Attachments,Automatic Tags,GDBs,GDBs,Labels
0,10.1002/ehf2.12218,28988439,PMC5793978,A,Neo4j,Neo4j,"Ferreira, João Pedro; Machu, Jean‐Loup; Girerd, Nicolas; Jaisser, Frederic; Thum, Thomas; Butler, Javed; González, Arantxa; Diez, Javier; Heymans, Stephane; McDonald, Kenneth; Gyöngyösi, Mariann; Firat, Hueseyin; Rossignol, Patrick; Pizard, Anne; Zannad, Faiez",Rationale of the FIBROTARGETS study designed to identify novel biomarkers of myocardial fibrosis,2017,ESC Heart Failure,,"Aims Myocardial fibrosis alters the cardiac architecture favouring the development of cardiac dysfunction, including arrhythmias and heart failure. Reducing myocardial fibrosis may improve outcomes through the targeted diagnosis and treatment of emerging fibrotic pathways. The European‐Commission‐funded ‘FIBROTARGETS’ is a multinational academic and industrial consortium with the main aims of (i) characterizing novel key mechanistic pathways involved in the metabolism of fibrillary collagen that may serve as biotargets, (ii) evaluating the potential anti‐fibrotic properties of novel or repurposed molecules interfering with the newly identified biotargets, and (iii) characterizing bioprofiles based on distinct mechanistic phenotypes involving the aforementioned biotargets. These pathways will be explored by performing a systematic and collaborative search for mechanisms and targets of myocardial fibrosis. These mechanisms will then be translated into individualized diagnostic tools and specific therapeutic pharmacological options for heart failure. Methods and results The FIBROTARGETS consortium has merged data from 12 patient cohorts in a common database available to individual consortium partners. The database consists of >12 000 patients with a large spectrum of cardiovascular clinical phenotypes. It integrates community‐based population cohorts, cardiovascular risk cohorts, and heart failure cohorts. Conclusions The FIBROTARGETS biomarker programme is aimed at exploring fibrotic pathways allowing the bioprofiling of patients into specific ‘fibrotic’ phenotypes and identifying new therapeutic targets that will potentially enable the development of novel and tailored anti‐fibrotic therapies for heart failure.",2017-10-07,2021-06-05 20:55:40; 2021-06-05 21:11:16; 2021-06-05 20:36:32,139-148,1,5,ESC Heart Fail,,PubMed Central,PMID: 28988439 PMCID: PMC5793978,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5793978/,,Neo4j,Neo4j,PMC:Query3; PMC:Neo4j; PMC:Query2
1,10.1002/humu.22857,26269093,PMC5473253,A,Neo4j,Neo4j,"Mungall, Christopher J.; Washington, Nicole L.; Nguyen-Xuan, Jeremy; Condit, Christopher; Smedley, Damian; Köhler, Sebastian; Groza, Tudor; Shefchek, Kent; Hochheiser, Harry; Robinson, Peter N.; Lewis, Suzanna E.; Haendel, Melissa A.",Use of Model Organism and Disease Databases to Support Matchmaking for Human Disease Gene Discovery,2015,Human mutation,,"The Matchmaker Exchange API allows searching a patient's genotypic or phenotypic profiles across clinical sites, for the purposes of cohort discovery and variant-disease causal validation. This API can be used not only to search for matching patients, but also to match against public disease and model organism data. This public disease data enables matching known diseases and variant-phenotype associations using phenotype semantic similarity algorithms developed by the Monarch Initiative. The model data can provide additional evidence to aid diagnosis, suggest relevant models for disease mechanism and treatment exploration, and identify collaborators across the translational divide. The Monarch Initiative provides an implementation of this API for searching multiple integrated sources of data that contextualize the knowledge about any given patient or patient family into the greater biomedical knowledge landscape. While this corpus of data can aid diagnosis, it is also the beginning of research to improve understanding of rare human diseases.",2015-10,2021-06-05 20:56:20; 2021-06-05 21:12:40; 2021-06-05 20:37:08,979-984,10,36,Hum Mutat,,PubMed Central,PMID: 26269093 PMCID: PMC5473253,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5473253/,,Neo4j,Neo4j,PMC:Query3; PMC:Neo4j; PMC:Query2
2,10.1002/humu.23610,30095202,PMC7374944,A,Neo4j,Neo4j,"Riggs, Erin R.; Nelson, Tristan; Merz, Andrew; Ackley, Todd; Bunke, Brian; Collins, Christin D.; Collinson, Morag N.; Fan, Yao-Shan; Goodenberger, McKinsey L.; Golden, Denae M.; Haglund-Hazy, Linda; Krgovic, Danijela; Lamb, Allen N.; Lewis, Zoe; Li, Guang; Liu, Yajuan; Meck, Jeanne; Neufeld-Kaiser, Whitney; Runke, Cassandra K.; Sanmann, Jennifer N.; Stavropoulos, Dimitri J.; Strong, Emma; Su, Meng; Tayeh, Marwan K.; Vokac, Nadja Kokalj; Thorland, Erik C.; Andersen, Erica; Martin, Christa L.",Copy Number Variant Discrepancy Resolution Using the ClinGen Dosage Sensitivity Map Results in Updated Clinical Interpretations in ClinVar,2018,Human mutation,,"Conflict resolution in genomic variant interpretation is a critical step towards improving patient care. Evaluating interpretation discrepancies in copy number variants (CNVs) typically involves assessing overlapping genomic content with focus on genes/regions that may be subject to dosage sensitivity (haploinsufficiency (HI) and/or triplosensitivity (TS)). CNVs containing dosage sensitive genes/regions are generally interpreted as “likely pathogenic” (LP) or “pathogenic” (P), and CNVs involving the same known dosage sensitive gene(s) should receive the same clinical interpretation. We compared the Clinical Genome Resource (ClinGen) Dosage Map, a publicly available resource documenting known HI and TS genes/regions, against germline, clinical CNV interpretations within the ClinVar database. We identified 251 CNVs overlapping known dosage sensitive genes/regions but not classified as LP or P; these were sent back to their original submitting laboratories for re-evaluation. Of 246 CNVs re-evaluated, an updated clinical classification was warranted in 157 cases (63.8%); no change was made to the current classification in 79 cases (32.1%); and 10 cases (4.1%) resulted in other types of updates to ClinVar records. This effort will add curated interpretation data into the public domain and allow laboratories to focus attention on more complex discrepancies.",2018-11,2021-06-05 20:55:01; 2021-06-05 21:11:16; 2021-06-05 20:36:32,1650-1659,11,39,Hum Mutat,,PubMed Central,PMID: 30095202 PMCID: PMC7374944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7374944/,,Neo4j,Neo4j,PMC:Query3; PMC:Neo4j; PMC:Query2
3,10.1002/ijc.31809,30121958,PMC6587976,,,,"Eilertsen, Ina A.; Sveen, Anita; Strømme, Jonas M.; Skotheim, Rolf I.; Nesbakken, Arild; Lothe, Ragnhild A.",Alternative splicing expands the prognostic impact of KRAS in microsatellite stable primary colorectal cancer,2019,International Journal of Cancer,,"KRAS mutation is a well‐known marker for poor response to targeted treatment and patient prognosis in microsatellite stable (MSS) colorectal cancer (CRC). However, variation in clinical outcomes among patients wild‐type for KRAS underlines that this is not a homogeneous population. Here, we evaluated the prognostic impact of KRAS alternative splicing in relation to mutation status in a single‐hospital series of primary MSS CRCs (N = 258). Using splicing‐sensitive microarrays and RNA sequencing, the relative expression of KRAS‐4A versus KRAS‐4B transcript variants was confirmed to be down‐regulated in CRC compared to normal colonic mucosa (N = 41; p ≤ 0.001). This was independent of mutation status, however, gene set enrichment analysis revealed that the effect of splicing on KRAS signaling was specific to the KRAS wild‐type subgroup, in which low relative KRAS‐4A expression was associated with a higher level of KRAS signaling (p = 0.005). In concordance, the prognostic value of KRAS splicing was also dependent on mutation status, and for patients with Stage I–III KRAS wild‐type MSS CRC, low relative KRAS‐4A expression was associated with inferior overall survival (HR: 2.36, 95% CI: 1.07–5.18, p = 0.033), a result not found in mutant cases (p interaction = 0.026). The prognostic association in the wild‐type subgroup was independent of clinicopathological factors, including cancer stage in multivariable analysis (HR: 2.68, 95% CI: 1.18–6.09, p = 0.018). This suggests that KRAS has prognostic value beyond mutation status in MSS CRC, and highlights the importance of molecular heterogeneity in the clinically relevant KRAS wild‐type subgroup.,  What's new? , Patients with microsatellite stable (MSS) colorectal cancer (CRC) that lacks KRAS mutation benefit from targeted therapy. Nonetheless, variations in clinical outcome suggest that KRAS wild‐type CRC is a heterogeneous disease. Here, two KRAS transcript variants, KRAS‐4A and KRAS‐4B, generated through alternative splicing, were investigated in relation to KRAS mutation status and MSS CRC prognosis. Aberrant splicing resulting in low expression of the KRAS‐4A transcript variant, relative to the KRAS‐4B transcript, was associated with increased KRAS signaling and poor patient prognosis specifically in KRAS wild‐type MSS CRC. The findings suggest that KRAS splicing is of prognostic relevance in KRAS wild‐type CRC.",2019-02-15,2021-06-05 21:11:16,841-847,4,144,Int J Cancer,,PubMed Central,PMID: 30121958 PMCID: PMC6587976,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6587976/,,,,PMC:Query2
4,10.1002/lrh2.10019,31245557,PMC6516719,A,Neo4j,Neo4j,"Curcin, Vasa",Embedding data provenance into the Learning Health System to facilitate reproducible research,2016,Learning Health Systems,,"Introduction The learning health system (LHS) community has taken up the challenge of bringing the complex relationship between clinical research and practice into this brave new world. At the heart of the LHS vision is the notion of routine capture, transformation, and dissemination of data and knowledge, with various use cases, such as clinical studies, quality improvement initiatives, and decision support, constructed on top of specific routes that the data is taking through the system. In order to stop this increased data volume and analytical complexity from obfuscating the research process, it is essential to establish trust in the system through implementing reproducibility and auditability throughout the workflow. Methods Data provenance technologies can automatically capture the trace of the research task and resulting data, thereby facilitating reproducible research. While some computational domains, such as bioinformatics, have embraced the technology through provenance‐enabled execution middlewares, disciplines based on distributed, heterogeneous software, such as medical research, are only starting on the road to adoption, motivated by the institutional pressures to improve transparency and reproducibility. Results Guided by the experiences of the TRANSFoRm project, we present the opportunities that data provenance offers to the LHS community. We illustrate how provenance can facilitate documenting 21 CFR Part 11 compliance for Food and Drug Administration submissions and provide auditability for decisions made by the decision support tools and discuss the transformational effect of routine provenance capture on data privacy, study reporting, and publishing medical research. Conclusions If the scaling up of the LHS is to succeed, we have to embed mechanisms to verify trust in the system inside our research instruments. In the research world increasingly reliant on electronic tools, provenance gives us a lingua franca to achieve traceability, which we have shown to be essential to building these mechanisms. To realize the vision of making computable provenance a feasible approach to implementing reproducibility in the LHS, we have to provide viable mechanisms for adoption. These include defining meaningful provenance models for problem domains and also introducing provenance support to existing tools in a minimally invasive manner.",2016-12-27,2021-06-05 20:55:40; 2021-06-05 21:12:01; 2021-06-05 20:37:08,,2,1,Learn Health Syst,,PubMed Central,PMID: 31245557 PMCID: PMC6516719,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6516719/,,Neo4j,Neo4j,PMC:Query3; PMC:Neo4j; PMC:Query2
5,10.1002/mbo3.218,25336405,PMC4263516,,,,"Jiménez, Esther; Sánchez, Borja; Farina, Annarita; Margolles, Abelardo; Rodríguez, Juan M",Characterization of the bile and gall bladder microbiota of healthy pigs,2014,MicrobiologyOpen,,"Bile is a biological fluid synthesized in the liver, stored and concentrated in the gall bladder (interdigestive), and released into the duodenum after food intake. The microbial populations of different parts of mammal's gastrointestinal tract (stomach, small and large intestine) have been extensively studied; however, the characterization of bile microbiota had not been tackled until now. We have studied, by culture-dependent techniques and a 16S rRNA gene-based analysis, the microbiota present in the bile, gall bladder mucus, and biopsies of healthy sows. Also, we have identified the most abundant bacterial proteins in the bile samples. Our data show that the gall bladder ecosystem is mainly populated by members of the phyla Proteobacteria, Firmicutes, and Bacteroidetes. Furthermore, fluorescent in situ hybridization (FISH) and transmission electron microscopy (TEM) allowed us to visualize the presence of individual bacteria of different morphological types, in close association with either the epithelium or the erythrocytes, or inside the epithelial cells. Our work has generated new knowledge of bile microbial profiles and functions and might provide the basis for future studies on the relationship between bile microbiota, gut microbiota, and health.",2014-12,2021-06-05 21:12:40,937-949,6,3,Microbiologyopen,,PubMed Central,PMID: 25336405 PMCID: PMC4263516,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4263516/,,,,PMC:Query2
6,10.1002/minf.202000013,32390334,,A,Neo4j,Neo4j,"Murali, Vidhya; Königs, Cassandra; Deekshitula, Sarvani; Nukala, Saranya; Santhi, Maddala Divya; Athri, Prashanth",CompoundDB4j: Integrated Drug Resource of Heterogeneous Chemical Databases,2020,Molecular Informatics,,"Computational approaches to analyze various drug/ compound centered analysis often present a need to map attributes from multiple drug databases. In this study, we provide a Neo4j repository that integrates two of the most prominent open source drug databases, DrugBank and ChEMBL, with a goal of establishing an integrated data visualization and analysis tool for drug discovery studies. The drugs present in DrugBank are mapped to their counterparts in ChEMBL. The integration of these resources and the harmonization using knowledge graph serialization using Neo4j lead to identification of relationships between drugs and other related features that are otherwise spread across two different resources. A common data format, a prerequisite to populate the Neo4j database, enables users to identify new relationships central to drug discovery research, like Drug Target Interactions (DTI). The resource is freely available at: https://github.com/ambf0632/CompoundDB4j.",2020-09,2021-06-05 21:24:28; 2021-06-05 21:06:22; 2021-06-05 21:16:51,e2000013,9,39,Mol Inform,CompoundDB4j,PubMed,PMID: 32390334,http://www.ncbi.nlm.nih.gov/pubmed/32390334,ChEMBL; Cheminformatics; Dataintegration; DrugBank; Neo4j,Neo4j,Neo4j,PubMed:Neo4j; PubMed:Query3; PubMed:Query2
7,10.1002/minf.202000116,32725965,PMC8047896,A,Neo4j; COVID19,Neo4j; COVID19,"Dafniet, Bryan; Cerisier, Natacha; Audouze, Karine; Taboureau, Olivier",Drug‐target‐ADR Network and Possible Implications of Structural Variants in Adverse Events,2020,Molecular Informatics,,"Adverse drug reactions (ADRs) are of major concern in drug safety. However, due to the biological complexity of human systems, understanding the underlying mechanisms involved in development of ADRs remains a challenging task. Here, we applied network sciences to analyze a tripartite network between 1000 drugs, 1407 targets, and 6164 ADRs. It allowed us to suggest drug targets susceptible to be associated to ADRs and organs, based on the system organ class (SOC). Furthermore, a score was developed to determine the contribution of a set of proteins to ADRs. Finally, we identified proteins that might increase the susceptibility of genes to ADRs, on the basis of knowledge about genomic structural variation in genes encoding proteins targeted by drugs. Such analysis should pave the way to individualize drug therapy and precision medicine.,",2020-12,2021-06-05 20:35:57; 2021-06-05 21:35:36; 2021-06-05 20:54:31; 2021-06-05 21:10:08,,12,39,Mol Inform,,PubMed Central,PMID: 32725965 PMCID: PMC8047896,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8047896/,,Neo4j; COVID19,Neo4j; COVID19,PMC:Query3; PMC:Neo4j; PMC:COVID19; PMC:Query2
8,10.1002/mp.13114,30226286,PMC8082598,,,,"Mayo, C S; Phillips, M; McNutt, T R; Palta, J; Dekker, A; Miller, R C; Xiao, Y; Moran, J M; Matuszak, M M; Gabriel, P; Ayan, A S; Prisciandaro, J; Thor, M; Dixit, N; Popple, R; Killoran, J; Kaleba, E; Kantor, M; Ruan, D; Kapoor, R; Kessler, M L; Lawrence, T S",Treatment Data and Technical Process Challenges for Practical Big Data Efforts in Radiation Oncology,2018,Medical physics,,"The term Big Data has come to encompass a number of concepts and uses within medicine. This paper lays out the relevance and application of large collections of data in the radiation oncology community. We describe the potential importance and uses in clinical practice. The important concepts are then described and how they have been or could be implemented are discussed. Impediments to progress in the collection and use of sufficient quantities of data are also described. Finally, recommendations for how the community can move forward to achieve the potential of Big Data in radiation oncology are provided.",2018-10,2021-06-05 21:11:16,e793-e810,10,45,Med Phys,,PubMed Central,PMID: 30226286 PMCID: PMC8082598,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8082598/,,,,PMC:Query2
9,10.1002/mp.14322,32521049,PMC7754296,,,,"Kalendralis, Petros; Shi, Zhenwei; Traverso, Alberto; Choudhury, Ananya; Sloep, Matthijs; Zhovannik, Ivan; Starmans, Martijn P.A.; Grittner, Detlef; Feltens, Peter; Monshouwer, Rene; Klein, Stefan; Fijten, Rianne; Aerts, Hugo; Dekker, Andre; van Soest, Johan; Wee, Leonard; Kalendralis, Petros; Shi, Zhenwei; Traverso, Alberto; Choudhury, Ananya; Sloep, Matthijs; Zhovannik, Ivan; Starmans, Martijn P. A.; Grittner, Detlef; Feltens, Peter; Monshouwer, Rene; Klein, Stefan; Fijten, Rianne; Aerts, Hugo; Dekker, Andre; van Soest, Johan; Wee, Leonard","FAIR‐compliant clinical, radiomics and DICOM metadata of RIDER, interobserver, Lung1 and head‐Neck1 TCIA collections; FAIR-compliant clinical, radiomics and DICOM metadata of RIDER, interobserver, Lung1 and head-Neck1 TCIA collections",2020,Medical Physics,,"PURPOSE: One of the most frequently cited radiomics investigations showed that features automatically extracted from routine clinical images could be used in prognostic modeling. These images have been made publicly accessible via The Cancer Imaging Archive (TCIA). There have been numerous requests for additional explanatory metadata on the following datasets - RIDER, Interobserver, Lung1, and Head-Neck1. To support repeatability, reproducibility, generalizability, and transparency in radiomics research, we publish the subjects' clinical data, extracted radiomics features, and digital imaging and communications in medicine (DICOM) headers of these four datasets with descriptive metadata, in order to be more compliant with findable, accessible, interoperable, and reusable (FAIR) data management principles. ACQUISITION AND VALIDATION METHODS: Overall survival time intervals were updated using a national citizens registry after internal ethics board approval. Spatial offsets of the primary gross tumor volume (GTV) regions of interest (ROIs) associated with the Lung1 CT series were improved on the TCIA. GTV radiomics features were extracted using the open-source Ontology-Guided Radiomics Analysis Workflow (O-RAW). We reshaped the output of O-RAW to map features and extraction settings to the latest version of Radiomics Ontology, so as to be consistent with the Image Biomarker Standardization Initiative (IBSI). Digital imaging and communications in medicine metadata was extracted using a research version of Semantic DICOM (SOHARD, GmbH, Fuerth; Germany). Subjects' clinical data were described with metadata using the Radiation Oncology Ontology. All of the above were published in Resource Descriptor Format (RDF), that is, triples. Example SPARQL queries are shared with the reader to use on the online triples archive, which are intended to illustrate how to exploit this data submission. DATA FORMAT: The accumulated RDF data are publicly accessible through a SPARQL endpoint where the triples are archived. The endpoint is remotely queried through a graph database web application at http://sparql.cancerdata.org. SPARQL queries are intrinsically federated, such that we can efficiently cross-reference clinical, DICOM, and radiomics data within a single query, while being agnostic to the original data format and coding system. The federated queries work in the same way even if the RDF data were partitioned across multiple servers and dispersed physical locations. POTENTIAL APPLICATIONS: The public availability of these data resources is intended to support radiomics features replication, repeatability, and reproducibility studies by the academic community. The example SPARQL queries may be freely used and modified by readers depending on their research question. Data interoperability and reusability are supported by referencing existing public ontologies. The RDF data are readily findable and accessible through the aforementioned link. Scripts used to create the RDF are made available at a code repository linked to this submission: https://gitlab.com/UM-CDS/FAIR-compliant_clinical_radiomics_and_DICOM_metadata.; Purpose One of the most frequently cited radiomics investigations showed that features automatically extracted from routine clinical images could be used in prognostic modeling. These images have been made publicly accessible via The Cancer Imaging Archive (TCIA). There have been numerous requests for additional explanatory metadata on the following datasets — RIDER, Interobserver, Lung1, and Head–Neck1. To support repeatability, reproducibility, generalizability, and transparency in radiomics research, we publish the subjects’ clinical data, extracted radiomics features, and digital imaging and communications in medicine (DICOM) headers of these four datasets with descriptive metadata, in order to be more compliant with findable, accessible, interoperable, and reusable (FAIR) data management principles. Acquisition and validation methods Overall survival time intervals were updated using a national citizens registry after internal ethics board approval. Spatial offsets of the primary gross tumor volume (GTV) regions of interest (ROIs) associated with the Lung1 CT series were improved on the TCIA. GTV radiomics features were extracted using the open‐source Ontology‐Guided Radiomics Analysis Workflow (O‐RAW). We reshaped the output of O‐RAW to map features and extraction settings to the latest version of Radiomics Ontology, so as to be consistent with the Image Biomarker Standardization Initiative (IBSI). Digital imaging and communications in medicine metadata was extracted using a research version of Semantic DICOM (SOHARD, GmbH, Fuerth; Germany). Subjects’ clinical data were described with metadata using the Radiation Oncology Ontology. All of the above were published in Resource Descriptor Format (RDF), that is, triples. Example SPARQL queries are shared with the reader to use on the online triples archive, which are intended to illustrate how to exploit this data submission. Data format The accumulated RDF data are publicly accessible through a SPARQL endpoint where the triples are archived. The endpoint is remotely queried through a graph database web application at http://sparql.cancerdata.org. SPARQL queries are intrinsically federated, such that we can efficiently cross‐reference clinical, DICOM, and radiomics data within a single query, while being agnostic to the original data format and coding system. The federated queries work in the same way even if the RDF data were partitioned across multiple servers and dispersed physical locations. Potential applications The public availability of these data resources is intended to support radiomics features replication, repeatability, and reproducibility studies by the academic community. The example SPARQL queries may be freely used and modified by readers depending on their research question. Data interoperability and reusability are supported by referencing existing public ontologies. The RDF data are readily findable and accessible through the aforementioned link. Scripts used to create the RDF are made available at a code repository linked to this submission: https://gitlab.com/UM‐CDS/FAIR‐compliant_clinical_radiomics_and_DICOM_metadata.",2020-11,2021-06-05 21:06:22; 2021-06-05 21:10:08,5931-5940,11,47,Med Phys,,PubMed; PubMed Central,PMID: 32521049 PMCID: PMC7754296,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7754296/; http://www.ncbi.nlm.nih.gov/pubmed/32521049,"Databases, Factual; datasets; FAIR; Germany; Humans; Metadata; radiomics; repeatability; reproducibility; Reproducibility of Results; Workflow",,,PubMed:Query2; PMC:Query2
