,Date,Author,Title,Publication Title,PMID,DOI,PMCID,Link Attachments
0,2023,"Yan C, Fang X, Huang X, Guo C, Wu J",A solution and practice for combining multi-source heterogeneous data to construct enterprise knowledge graph.,Frontiers in big data,37841897,10.3389/fdata.2023.1278153,PMC10569599,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10569599
1,2023,"Menotti L, Silvello G, Atzori M, Boytcheva S, Ciompi F, Di Nunzio GM, Fraggetta F, Giachelle F, Irrera O, Marchesin S, Marini N, Müller H, Primov T",Modelling digital health data: The ExaMode ontology for computational pathology.,Journal of pathology informatics,37705689,10.1016/j.jpi.2023.100332,PMC10495665,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10495665
2,2023,"Imbert B, Kreplak J, Flores RG, Aubert G, Burstin J, Tayeh N",Development of a knowledge graph framework to ease and empower translational approaches in plant research: a use-case on grain legumes.,Frontiers in artificial intelligence,37601035,10.3389/frai.2023.1191122,PMC10435283,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10435283
3,2023,"Kumar N, Mukhtar S",Building Protein-Protein Interaction Graph Database Using Neo4j.,"Methods in molecular biology (Clifton, N.J.)",37450167,10.1007/978-1-0716-3327-4_36,both_none_3,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_3
4,2023,"Mazein A, Acencio ML, Balaur I, Rougny A, Welter D, Niarakis A, Ramirez Ardila D, Dogrusoz U, Gawron P, Satagopam V, Gu W, Kremer A, Schneider R, Ostaszewski M","A guide for developing comprehensive systems biology maps of disease mechanisms: planning, construction and maintenance.",Frontiers in bioinformatics,37426048,10.3389/fbinf.2023.1197310,PMC10325725,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10325725
5,2023 Mar 1,"Guo H, Scriney M, Liu K",An Ostensive Information Architecture to Enhance Semantic Interoperability for Healthcare Information Systems.,Information systems frontiers : a journal of research and innovation,37361885,10.1007/s10796-023-10379-5,PMC9974391,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9974391
6,2023,"Zhao X, Wang Y, Li P, Xu J, Sun Y, Qiu M, Pang G, Wen T",The construction of a TCM knowledge graph and application of potential knowledge discovery in diabetic kidney disease by integrating diagnosis and treatment guidelines and real-world clinical data.,Frontiers in pharmacology,37324451,10.3389/fphar.2023.1147677,PMC10264574,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10264574
7,2023,"Barteit S, Sié A, Zabré P, Traoré I, Ouédraogo WA, Boudo V, Munga S, Khagayi S, Obor D, Muok E, Franke J, Schwarz M, Blass K, Su TT, Bärnighausen T, Sankoh O, Sauerborn R",Widening the lens of population-based health research to climate change impacts and adaptation: the climate change and health evaluation and response system (CHEERS).,Frontiers in public health,37304117,10.3389/fpubh.2023.1153559,PMC10248881,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10248881
8,2023 Jan-Dec,"Fruchart M, El Idrissi F, Lamer A, Belarbi K, Lemdani M, Zitouni D, Guinhouya BC",Identification of early symptoms of endometriosis through the analysis of online social networks: A social media study.,Digital health,37228486,10.1177/20552076231176114,PMC10204053,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10204053
9,2023,"Pallier K, Prot O, Naldi S, Silva F, Denis T, Giry O, Leobon S, Deluche E, Tubiana-Mathieu N",Patient Identification and Tumor Identification Management: Quality Program in a Cancer Multicentric Clinical Data Warehouse.,Cancer informatics,37223319,10.1177/11769351231172609,PMC10201142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10201142
10,2023 Mar 27,"Herr BW 2nd, Hardi J, Quardokus EM, Bueckle A, Chen L, Wang F, Caron AR, Osumi-Sutherland D, Musen MA, Börner K","Specimen, biological structure, and spatial ontologies in support of a Human Reference Atlas.",Scientific data,36973309,10.1038/s41597-023-01993-8,PMC10043028,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10043028
11,2023 Mar 24,"Shi F, Evans J",Surprising combinations of research contents and contexts are related to impact and emerge with scientific outsiders from distant disciplines.,Nature communications,36964138,10.1038/s41467-023-36741-4,PMC10039062,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10039062
