,pubdate,authors,title,fulljournalname,pubmed,doi,pmc
0,2022 Jan 20,"[{'name': 'Zahoránszky-Kőhalmi G', 'authtype': 'Author'}, {'name': 'Siramshetty VB', 'authtype': 'Author'}, {'name': 'Kumar P', 'authtype': 'Author'}, {'name': 'Gurumurthy M', 'authtype': 'Author'}, {'name': 'Grillo B', 'authtype': 'Author'}, {'name': 'Mathew B', 'authtype': 'Author'}, {'name': 'Metaxatos D', 'authtype': 'Author'}, {'name': 'Backus M', 'authtype': 'Author'}, {'name': 'Mierzwa T', 'authtype': 'Author'}, {'name': 'Simon R', 'authtype': 'Author'}, {'name': 'Grishagin I', 'authtype': 'Author'}, {'name': 'Brovold L', 'authtype': 'Author'}, {'name': 'Mathé EA', 'authtype': 'Author'}, {'name': 'Hall MD', 'authtype': 'Author'}, {'name': 'Michael SG', 'authtype': 'Author'}, {'name': 'Godfrey AG', 'authtype': 'Author'}, {'name': 'Mestres J', 'authtype': 'Author'}, {'name': 'Jensen LJ', 'authtype': 'Author'}, {'name': 'Oprea TI', 'authtype': 'Author'}]",A Workflow of Integrated Resources to Catalyze Network Pharmacology Driven COVID-19 Research,Journal of chemical information and modeling,35057621,10.1021/acs.jcim.1c00431,PMC10790216
1,2022 Nov,"[{'name': 'Zhao Z', 'authtype': 'Author'}, {'name': 'Chavez T', 'authtype': 'Author'}, {'name': 'Holman EA', 'authtype': 'Author'}, {'name': 'Hao G', 'authtype': 'Author'}, {'name': 'Green A', 'authtype': 'Author'}, {'name': 'Krishnan H', 'authtype': 'Author'}, {'name': 'McReynolds D', 'authtype': 'Author'}, {'name': 'Pandolfi RJ', 'authtype': 'Author'}, {'name': 'Roberts EJ', 'authtype': 'Author'}, {'name': 'Zwart PH', 'authtype': 'Author'}, {'name': 'Yanxon H', 'authtype': 'Author'}, {'name': 'Schwarz N', 'authtype': 'Author'}, {'name': 'Sankaranarayanan S', 'authtype': 'Author'}, {'name': 'Kalinin SV', 'authtype': 'Author'}, {'name': 'Mehta A', 'authtype': 'Author'}, {'name': 'Campbell SI', 'authtype': 'Author'}, {'name': 'Hexemer A', 'authtype': 'Author'}]",MLExchange: A web-based platform enabling exchangeable machine learning workflows for scientific studies,Annual Workshop on Extreme-scale Experiment-in-the-Loop Computing : XLOOP. Annual Workshop on Extreme-scale Experiment-in-the-Loop Computing,38131031,10.1109/xloop56614.2022.00007,PMC10733127
2,2022 Apr 20,"[{'name': 'Nguyen TN', 'authtype': 'Author'}]",Toward Human Digital Twins for Cybersecurity Simulations on the Metaverse: Ontological and Network Science Approach,JMIRx Med,0,10.2196/33502,PMC10414334
3,2021 Jun 25,"[{'name': '', 'authtype': 'Unknown'}, {'name': '', 'authtype': 'Unknown'}, {'name': '', 'authtype': 'Unknown'}, {'name': '', 'authtype': 'Unknown'}, {'name': '', 'authtype': 'Unknown'}]",中文医学文献的实体关系提取研究及在糖尿病医学文献中的应用,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi = Journal of Biomedical Engineering,34180203,10.7507/1001-5515.202001009,PMC9927773
4,2022 Jul 29,"[{'name': 'Gupta E', 'authtype': 'Author'}, {'name': 'Sural S', 'authtype': 'Author'}, {'name': 'Vaidya J', 'authtype': 'Author'}, {'name': 'Atluri V', 'authtype': 'Author'}]",Enabling Attribute-based Access Control in NoSQL Databases,IEEE transactions on emerging topics in computing,37274839,10.1109/tetc.2022.3193577,PMC10236925
5,2023 Mar 21,"[{'name': 'Su C', 'authtype': 'Author'}, {'name': 'Hou Y', 'authtype': 'Author'}, {'name': 'Zhou M', 'authtype': 'Author'}, {'name': 'Rajendran S', 'authtype': 'Author'}, {'name': 'Maasch JR', 'authtype': 'Author'}, {'name': 'Abedi Z', 'authtype': 'Author'}, {'name': 'Zhang H', 'authtype': 'Author'}, {'name': 'Bai Z', 'authtype': 'Author'}, {'name': 'Cuturrufo A', 'authtype': 'Author'}, {'name': 'Guo W', 'authtype': 'Author'}, {'name': 'Chaudhry FF', 'authtype': 'Author'}, {'name': 'Ghahramani G', 'authtype': 'Author'}, {'name': 'Tang J', 'authtype': 'Author'}, {'name': 'Cheng F', 'authtype': 'Author'}, {'name': 'Li Y', 'authtype': 'Author'}, {'name': 'Zhang R', 'authtype': 'Author'}, {'name': 'DeKosky ST', 'authtype': 'Author'}, {'name': 'Bian J', 'authtype': 'Author'}, {'name': 'Wang F', 'authtype': 'Author'}]",Biomedical discovery through the integrative biomedical knowledge hub (iBKH),iScience,37020958,10.1016/j.isci.2023.106460,PMC10068563
6,2023 Mar 11,"[{'name': 'Jawad MS', 'authtype': 'Author'}, {'name': 'Dhawale C', 'authtype': 'Author'}, {'name': 'Ramli AA', 'authtype': 'Author'}, {'name': 'Mahdin H', 'authtype': 'Author'}]",Adoption of knowledge-graph best development practices for scalable and optimized manufacturing processes,MethodsX,36974325,10.1016/j.mex.2023.102124,PMC10038788
7,2023 Feb 8,"[{'name': 'Glen AK', 'authtype': 'Author'}, {'name': 'Ma C', 'authtype': 'Author'}, {'name': 'Mendoza L', 'authtype': 'Author'}, {'name': 'Womack F', 'authtype': 'Author'}, {'name': 'Wood EC', 'authtype': 'Author'}, {'name': 'Sinha M', 'authtype': 'Author'}, {'name': 'Acevedo L', 'authtype': 'Author'}, {'name': 'Kvarfordt LG', 'authtype': 'Author'}, {'name': 'Peene RC', 'authtype': 'Author'}, {'name': 'Liu S', 'authtype': 'Author'}, {'name': 'Hoffman AS', 'authtype': 'Author'}, {'name': 'Roach JC', 'authtype': 'Author'}, {'name': 'Deutsch EW', 'authtype': 'Author'}, {'name': 'Ramsey SA', 'authtype': 'Author'}, {'name': 'Koslicki D', 'authtype': 'Author'}]",ARAX: a graph-based modular reasoning tool for translational biomedicine,Bioinformatics,36752514,10.1093/bioinformatics/btad082,PMC10027432
8,2023 Mar 10,"[{'name': 'Rougny A', 'authtype': 'Author'}, {'name': 'Balaur I', 'authtype': 'Author'}, {'name': 'Luna A', 'authtype': 'Author'}, {'name': 'Mazein A', 'authtype': 'Author'}]",StonPy: a tool to parse and query collections of SBGN maps in a graph database,Bioinformatics,36897014,10.1093/bioinformatics/btad100,PMC10017094
9,2023 Mar 2,"[{'name': 'McTear M', 'authtype': 'Author'}, {'name': 'Jokinen K', 'authtype': 'Author'}, {'name': 'Alam MM', 'authtype': 'Author'}, {'name': 'Saleem Q', 'authtype': 'Author'}, {'name': 'Napolitano G', 'authtype': 'Author'}, {'name': 'Szczepaniak F', 'authtype': 'Author'}, {'name': 'Hariz M', 'authtype': 'Author'}, {'name': 'Chollet G', 'authtype': 'Author'}, {'name': 'Lohr C', 'authtype': 'Author'}, {'name': 'Boudy J', 'authtype': 'Author'}, {'name': 'Azimi Z', 'authtype': 'Author'}, {'name': 'Roelen SD', 'authtype': 'Author'}, {'name': 'Wieching R', 'authtype': 'Author'}]",Interaction with a Virtual Coach for Active and Healthy Ageing,"Sensors (Basel, Switzerland)",36904957,10.3390/s23052748,PMC10007549
