,pubdate,authors,title,fulljournalname,pubmed,doi,pmc
0,2023,"[{'name': 'Roussey C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Guéret C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Laporte MA', 'authtype': 'Author', 'clusterid': ''}]","Editorial: Knowledge graph technologies: the next Frontier of the food, agriculture, and water domains.",Frontiers in artificial intelligence,38089711,10.3389/frai.2023.1319844,PMC10715242
1,2023,"[{'name': 'Yan C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Fang X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Huang X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Guo C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wu J', 'authtype': 'Author', 'clusterid': ''}]",A solution and practice for combining multi-source heterogeneous data to construct enterprise knowledge graph.,Frontiers in big data,37841897,10.3389/fdata.2023.1278153,PMC10569599
2,2023,"[{'name': 'Menotti L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Silvello G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Atzori M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Boytcheva S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ciompi F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Di Nunzio GM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Fraggetta F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Giachelle F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Irrera O', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Marchesin S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Marini N', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Müller H', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Primov T', 'authtype': 'Author', 'clusterid': ''}]",Modelling digital health data: The ExaMode ontology for computational pathology.,Journal of pathology informatics,37705689,10.1016/j.jpi.2023.100332,PMC10495665
3,2023,"[{'name': 'Imbert B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kreplak J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Flores RG', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Aubert G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Burstin J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tayeh N', 'authtype': 'Author', 'clusterid': ''}]",Development of a knowledge graph framework to ease and empower translational approaches in plant research: a use-case on grain legumes.,Frontiers in artificial intelligence,37601035,10.3389/frai.2023.1191122,PMC10435283
4,2023,"[{'name': 'Kumar N', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mukhtar S', 'authtype': 'Author', 'clusterid': ''}]",Building Protein-Protein Interaction Graph Database Using Neo4j.,"Methods in molecular biology (Clifton, N.J.)",37450167,10.1007/978-1-0716-3327-4_36,
5,2023,"[{'name': 'Mazein A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Acencio ML', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Balaur I', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Rougny A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Welter D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Niarakis A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ramirez Ardila D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Dogrusoz U', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gawron P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Satagopam V', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gu W', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kremer A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Schneider R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ostaszewski M', 'authtype': 'Author', 'clusterid': ''}]","A guide for developing comprehensive systems biology maps of disease mechanisms: planning, construction and maintenance.",Frontiers in bioinformatics,37426048,10.3389/fbinf.2023.1197310,PMC10325725
6,2023 Mar 1,"[{'name': 'Guo H', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Scriney M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Liu K', 'authtype': 'Author', 'clusterid': ''}]",An Ostensive Information Architecture to Enhance Semantic Interoperability for Healthcare Information Systems.,Information systems frontiers : a journal of research and innovation,37361885,10.1007/s10796-023-10379-5,PMC9974391
7,2023,"[{'name': 'Zhao X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wang Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Li P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Xu J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sun Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Qiu M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pang G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wen T', 'authtype': 'Author', 'clusterid': ''}]",The construction of a TCM knowledge graph and application of potential knowledge discovery in diabetic kidney disease by integrating diagnosis and treatment guidelines and real-world clinical data.,Frontiers in pharmacology,37324451,10.3389/fphar.2023.1147677,PMC10264574
8,2023,"[{'name': 'Barteit S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sié A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zabré P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Traoré I', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ouédraogo WA', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Boudo V', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Munga S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Khagayi S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Obor D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Muok E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Franke J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Schwarz M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Blass K', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Su TT', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bärnighausen T', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sankoh O', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sauerborn R', 'authtype': 'Author', 'clusterid': ''}]",Widening the lens of population-based health research to climate change impacts and adaptation: the climate change and health evaluation and response system (CHEERS).,Frontiers in public health,37304117,10.3389/fpubh.2023.1153559,PMC10248881
9,2023 Jan-Dec,"[{'name': 'Fruchart M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'El Idrissi F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Lamer A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Belarbi K', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Lemdani M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zitouni D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Guinhouya BC', 'authtype': 'Author', 'clusterid': ''}]",Identification of early symptoms of endometriosis through the analysis of online social networks: A social media study.,Digital health,37228486,10.1177/20552076231176114,PMC10204053
10,2023,"[{'name': 'Pallier K', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Prot O', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Naldi S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Silva F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Denis T', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Giry O', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Leobon S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Deluche E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tubiana-Mathieu N', 'authtype': 'Author', 'clusterid': ''}]",Patient Identification and Tumor Identification Management: Quality Program in a Cancer Multicentric Clinical Data Warehouse.,Cancer informatics,37223319,10.1177/11769351231172609,PMC10201142
11,2023 Mar 27,"[{'name': 'Herr BW 2nd', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Hardi J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Quardokus EM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bueckle A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Chen L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wang F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Caron AR', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Osumi-Sutherland D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Musen MA', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Börner K', 'authtype': 'Author', 'clusterid': ''}]","Specimen, biological structure, and spatial ontologies in support of a Human Reference Atlas.",Scientific data,36973309,10.1038/s41597-023-01993-8,PMC10043028
12,2023 Mar 24,"[{'name': 'Shi F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Evans J', 'authtype': 'Author', 'clusterid': ''}]",Surprising combinations of research contents and contexts are related to impact and emerge with scientific outsiders from distant disciplines.,Nature communications,36964138,10.1038/s41467-023-36741-4,PMC10039062
13,2023 Mar 1,"[{'name': 'Rougny A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Balaur I', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Luna A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mazein A', 'authtype': 'Author', 'clusterid': ''}]",StonPy: a tool to parse and query collections of SBGN maps in a graph database.,"Bioinformatics (Oxford, England)",36897014,10.1093/bioinformatics/btad100,PMC10017094
14,2023 Mar 6,"[{'name': 'Mondal R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Do MD', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ahmed NU', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Walke D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Micheel D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Broneske D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Saake G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Heyer R', 'authtype': 'Author', 'clusterid': ''}]",Decision tree learning in Neo4j on homogeneous and unconnected graph nodes from biological and clinical datasets.,BMC medical informatics and decision making,36879243,10.1186/s12911-023-02112-8,PMC9988195
