Resource,Content,Accessible at,GDB,Publication
NG-Tax 2.0,FAIR high-throughput analysis and classification of marker gene amplicon sequences,http://wurssb.gitlab.io/ngtax,RDF,10.3389/fgene.2019.01366
BioKNO,"Biological Knowledge Network Ontology (BioKNO), a lightweight ontology for the represention of biological-related knowledge networks",https://github.com/Rothamsted/bioknet-onto,Neo4j,10.1515/jib-2018-0023
BKO,"The Bricks Ontology (BKO), an ontology describing standardized representations of recurring concepts in systems biology",www.sbgnbricks.org,Neo4j,10.1093/bib/bbab049
SciGraph,"A presentation of the Monarch platform, which offers access to integrated biological data across different species",https://github.com/SciGraph/SciGraph,Neo4j,10.1093/nar/gkz997
KaBOB,18 databases; Knowledge Base Of Biomedicine,https://github.com/drlivingston/kabob,AllegroGraph; Virtuoso (RDF),10.1186/s12859-015-0559-3
Bio2RDF,"An integrated resource for various types of biological data, that enables ontology-based queries",https://bio2rdf.org/,Virtuoso (RDF),10.1186/2041-1480-4-S1-S1
Protein Ontology Open Linked Data,Protein Ontology (PRO) Linked Open Data SPARQL endpoint (resource) and GUI/Restful APIs to access it (Tool). This resource links the PRO to other resources.,https://lod.proconsortium.org/,Virtuoso (RDF),10.1038/s41597-020-00679-9
Drug Target Ontology,The Drug Target Ontology: formalized and standardized classifications and annotations of druggable protein targets,http://drugtargetontology.org,Neo4j,10.1186/s13326-017-0161-x
BioTCM-SE,"An instantiated ontology for the integration of modern biology and traditional Chinese medicine concepts and data, and a query platform for this ontology",http://www.biotcm.org/biotcm-se/indexpage/index.html,Virtuoso (RDF),10.1155/2014/957231
NeXO,A gene ontology built computationally from gene networks backed by a database and visualization platform,http://www.nexontology.org/,Neo4j,10.1093/nar/gkt1192
GORouter,"An RDF model which encodes heterogeneous original data in a uniform RDF format, creates additional ontology mappings between GO terms, and introduces a set of inference rulebases",http://www.scbit.org/gorouter/,Oracle 10g NDM (RDF),10.1186/1471-2105-9-S1-S6
neo4j2owl,pipeline to develop cell type ontology for brain tissues,https://github.com/VirtualFlyBrain/neo4j2owl,Neo4j,10.1038/s41597-022-01886-2
CORAL,it discusses a framework for integrating and analyzing complex biological data.,https://github.com/jmchandonia/CORAL,ArangoDB,10.1093/gigascience/giac089
Monarch Knowledge Graph,it is a resource for ontologies and ontology-encoded knowledge,https://github.com/SciGraph/SciGraph/,Neo4j,10.1093/nar/gkw1128
Protein onology,the RDF-based system for the Protein Ontology,https://proconsortium.org/,Virtuoso (RDF),10.1093/nar/gkw1075
OntoFox,integrative resource for ontologies,http://ontofox.hegroup.org/,Virtuoso (RDF),10.1186/1756-0500-3-175
WebProv,This is a neo4j-based system for semantic connection among systems biology models; Relating simulation studies by provenance—Developing a family of Wnt signaling models,https://github.com/SFB-ELAINE/WebProv,Neo4j,10.1371/journal.pcbi.1009227
DO,"A comprehensive knowledge base of 8043 inherited, developmental and acquired human diseases",http://disease-ontology.org/,Neo4j,10.1093/nar/gkr972
SPOKE,Knowledge graph for precision medicine built from integrating 41 databases and based on ontologies,https://spoke.rbvi.ucsf.edu/,Neo4j,10.1093/bioinformatics/btad080
BioLink,The BioLink model is a standardised data model for biomedical KGs to support integration and interoperability of these KGs,https://github.com/biolink/biolink-model,Neo4j,10.1111/cts.13302
Neuron Phenotype Ontology (NPO),A standardized and automatable approach for naming cell types and normalizing their constituent phenotypes using identifiers from community ontologies as a common language,https://bioportal.bioontology.org/ontologies/NPOKB,OWL,10.1007/s12021-022-09566-7
PDX Finder,A comprehensive open global catalog of patient-derived tumor xenograft models and their associated datasets,http://www.pdxfinder.org,Neo4j,10.1093/nar/gky984
SATORI,An integrative search and visual exploration interface for the exploration of biomedical data repositories,http://satori.refinery-platform.org/,Neo4j,10.1093/bioinformatics/btx739
ChemRDF,"A database system that adresses certain shortcomings of RDF databases that make their use restrictive or challenging for common users, demonstrated on the ChEBI database ",https://bioinfo.uochb.cas.cz/projects/chemRDF,Virtuoso (RDF),10.1186/s13321-016-0144-4
OBIB,"Merging two ontologies, developed on the basis of Open Biological and Biomedical Ontologies Foundry, using a modular approach, creating OBIB - a novel ontology for biobanking, that runs on Stardog.",http://purl.obolibrary.org/obo/obib.owl,Stardog (RDF),10.1186/s13326-016-0068-y
