Resource,Content,Accessible at,GDB,Publication
PDBe Aggregated API,A KG that integrates the content of the well-established Protein Data Bank resource,https://gitlab.ebi.ac.uk/pdbe-kb/services/pdbe-graph-api; https://pdbe.org/graph-api,Neo4j,10.1093/bioinformatics/btab424
SmartGraph,A network pharmacology platform,https://smartgraph.ncats.io/,Neo4j,10.1186/s13321-020-0409-9
Hetionet (Project Rephetio),A resource integrated millions of biomedical studies,neo4j.het.io,Neo4j,10.7554/eLife.26726
GeneDiseaseRepositioning,An integrated Data Driven Approach to Drug Repositioning Using Gene-Disease Associations,https://bitbucket.org/ncl-intbio/genediseaserepositioning/src/master/,Neo4j,10.1371/journal.pone.0155811
Reactome GDB,The GDB (neo4j) version of the Reactome KB,https://reactome.org,Neo4j,10.1093/nar/gkx1132
OTAR interactome,Integrated resource + graph-based analytics,ftp://ftp.ebi.ac.uk/pub/databases/intact/various/ot_graphdb/current),Neo4j,10.1038/s41588-023-01327-9
PDBe-KB,describes the GDB components for the Protein Data Bank in Europe,https://www.ebi.ac.uk/pdbe/pdbe-kb/,Neo4j,10.1002/pro.4439
NeDRexDB,Describes an integrated framework that supports network-based analytics for disease module identification and drug repurposing,http://neo4j.nedrex.net/,Neo4j,10.1038/s41467-021-27138-2
SEARCHIN,An analytical pipeline that integrates several existent functionalities and was developed to prioritize interactions between ligands and receptors in amyotrophic lateral sclerosis,https://github.com/Califano-lab/SEARCHIN,Neo4j,10.1038/s41467-020-19177-y
Tabloid Proteome,Integrates content on inferred protein-protein association,http://iomics.ugent.be/tabloidproteome,Neo4j,10.1093/nar/gkx930
NetworkAnalyst,"A network-based framrwork for integration, analysis and visualisation of gene expression profiling",https://www.networkanalyst.ca/,Neo4j,10.1093/nar/gku443
IntAct,IntAct GDB; molecular interaction data from the IntAct resource,https://www.ebi.ac.uk/intact/download; https://github.com/intact-portal,Neo4j,10.1093/nar/gkab1006
PDBe-KB,Structural information; annotations derived from or relevant to the Protein Data Bank (PDB); Protein Data Bank in Europe – Knowledge Base,https://pdbe-kb.org; https://pdbe-kb.org/graph-download; https://pdbe-kb.org/graph-download,Neo4j,10.1093/nar/gkab988
Inxight Drugs; NCATS Inxight Drugs,"An extension of the  G-SRS codebase; Drug database: 125 036 product ingredients, including 2566 US approved drugs, 6242 marketed drugs, and 9684 investigational drugs",https://drugs.ncats.io; https://drugs.ncats.io/,Neo4j,10.1093/nar/gkab918
GraphOmics,"The GraphOmics is a user-friendly KG to explore and integrate multiple omics datasets (transcriptomics, proteomics and metabolomics) and support hypothesis generation. Integration on top of Reactome's GDB",https://graphomics.glasgowcompbio.org/,Neo4j,10.1186/s12859-021-04500-1
RPGeNet v2.0,A tool to visualize the interactome network of visual disorder genes,https://compgen.bio.ub.edu/RPGeNet,Neo4j,10.1093/database/baz120
ROBOKOP,A tool for KGs exploration,http://robokop.renci.org/,Neo4j,10.1093/bioinformatics/btz604
SPOKE,Knowledge graph for precision medicine built from integrating 41 databases and based on ontologies,https://spoke.rbvi.ucsf.edu/,Neo4j,10.1093/bioinformatics/btad080
Fragment Graph DataBase (FGDB),A graph database of ligand fragments from the Protein Data Bank,http://biochimica3.bio.uniroma3.it/fragments-web/,Neo4j,10.1093/database/baac044
